"count" "trt" "gene" "sample"
26.6685027694188 "social" "LOCNA.4139" "C19"
14.9017900436555 "social" "LOCNA.4139" "C20"
15.6728383286512 "social" "LOCNA.4139" "C21"
23.9686370850119 "social" "LOCNA.4139" "C22"
16.1767177451442 "social" "LOCNA.4139" "C23"
22.058367025396 "social" "LOCNA.4139" "C24"
14.0827666995628 "social" "LOCNA.4139" "C25"
7.70629480778674 "social" "LOCNA.4139" "C26"
17.3231863465145 "social" "LOCNA.4139" "C27"
10.8297823739398 "social" "LOCNA.4139" "C28"
20.842843341565 "social" "LOCNA.4139" "C29"
16.3755113498152 "social" "LOCNA.4139" "C30"
16.6364673346124 "territorial" "LOC115122575" "C01"
6.85455881941374 "territorial" "LOC115122575" "C02"
2.51461691659114 "territorial" "LOC115122575" "C03"
18821.9314092472 "territorial" "LOC115122575" "C04"
54.7055725526056 "territorial" "LOC115122575" "C06"
13.910627632677 "territorial" "LOC115122575" "C07"
8.8754298015119 "territorial" "LOC115122575" "C08"
4.34003950273801 "territorial" "LOC115122575" "C09"
15.3462873568465 "territorial" "LOC115122575" "C10"
28.5095391630429 "territorial" "LOC115122575" "C11"
15.427950827478 "territorial" "LOC115122575" "C12"
9.63441231161769 "territorial" "LOC115122575" "C13"
6.98836197676643 "territorial" "LOC115122575" "C14"
7.95590921244014 "territorial" "LOC115122575" "C15"
11.1282790031743 "social" "LOC115122575" "C16"
33.7958111063542 "social" "LOC115122575" "C18"
2097.54865374933 "social" "LOC115122575" "C19"
9.81880532236529 "social" "LOC115122575" "C20"
77.7435405822241 "social" "LOC115122575" "C21"
11.5440645105939 "social" "LOC115122575" "C22"
7.46743010895299 "social" "LOC115122575" "C23"
25.6514281962954 "social" "LOC115122575" "C24"
18.9337548065495 "social" "LOC115122575" "C25"
12.8536482419201 "social" "LOC115122575" "C26"
5.17310731847626 "social" "LOC115122575" "C27"
8.24733678045487 "social" "LOC115122575" "C28"
24.5415421309404 "social" "LOC115122575" "C29"
10.2017013804426 "social" "LOC115122575" "C30"
10.1818804007674 "territorial" "LOC115146395" "C01"
2.31558823411821 "territorial" "LOC115146395" "C02"
2.51461691659114 "territorial" "LOC115146395" "C03"
2425.63416665874 "territorial" "LOC115146395" "C04"
11.5875034766693 "territorial" "LOC115146395" "C06"
12.5695648694093 "territorial" "LOC115146395" "C07"
6.0836198676746 "territorial" "LOC115146395" "C08"
8.18007900547602 "territorial" "LOC115146395" "C09"
2.06276709019437 "territorial" "LOC115146395" "C10"
11.9584478394266 "territorial" "LOC115146395" "C11"
0.5 "territorial" "LOC115146395" "C12"
4.71588260536201 "territorial" "LOC115146395" "C13"
3.28072656147133 "territorial" "LOC115146395" "C14"
3.29596595466505 "territorial" "LOC115146395" "C15"
7.26345027474729 "social" "LOC115146395" "C16"
6.55378383751895 "social" "LOC115146395" "C18"
253.858685903918 "social" "LOC115146395" "C19"
8.12447708193524 "social" "LOC115146395" "C20"
29.466327718334 "social" "LOC115146395" "C21"
23.9686370850119 "social" "LOC115146395" "C22"
3.98371505447649 "social" "LOC115146395" "C23"
13.9739793908725 "social" "LOC115146395" "C24"
7.29138334978139 "social" "LOC115146395" "C25"
10.7947068682668 "social" "LOC115146395" "C26"
6.10772878217151 "social" "LOC115146395" "C27"
2.22163039565664 "social" "LOC115146395" "C28"
10.6714216707825 "social" "LOC115146395" "C29"
8.4377556749076 "social" "LOC115146395" "C30"
13.4091738676899 "territorial" "LOC115102940" "C01"
28.6416176288323 "territorial" "LOC115102940" "C02"
13.5950099578424 "territorial" "LOC115102940" "C03"
17.4311214920734 "territorial" "LOC115102940" "C04"
482.190428819745 "territorial" "LOC115102940" "C06"
15.2516903959447 "territorial" "LOC115102940" "C07"
13.5284463579074 "territorial" "LOC115102940" "C08"
44.0204476976974 "territorial" "LOC115102940" "C09"
5.1883012705831 "territorial" "LOC115102940" "C10"
6.86580435523702 "territorial" "LOC115102940" "C11"
11.4471639401505 "territorial" "LOC115102940" "C12"
6.12117680714935 "territorial" "LOC115102940" "C13"
6.98836197676643 "territorial" "LOC115102940" "C14"
7.95590921244014 "territorial" "LOC115102940" "C15"
10.1620718210676 "social" "LOC115102940" "C16"
11.5986037021181 "social" "LOC115102940" "C18"
13.5842513847094 "social" "LOC115102940" "C19"
5.58298472129016 "social" "LOC115102940" "C20"
8.08641916432558 "social" "LOC115102940" "C21"
4.6415241914727 "social" "LOC115102940" "C22"
7.46743010895299 "social" "LOC115102940" "C23"
12.1774488054229 "social" "LOC115102940" "C24"
5.35098810698671 "social" "LOC115102940" "C25"
3.58841206048003 "social" "LOC115102940" "C26"
12.6500790280383 "social" "LOC115102940" "C27"
2.22163039565664 "social" "LOC115102940" "C28"
18.0688192495334 "social" "LOC115102940" "C29"
9.31972852767511 "social" "LOC115102940" "C30"
6.95458693384495 "territorial" "LOC115143414" "C01"
8.67014705353195 "territorial" "LOC115143414" "C02"
389.32106490209 "territorial" "LOC115143414" "C03"
10.4594832306314 "territorial" "LOC115143414" "C04"
5.42777932296415 "territorial" "LOC115143414" "C06"
9.88743934287392 "territorial" "LOC115143414" "C07"
6.0836198676746 "territorial" "LOC115143414" "C08"
4.34003950273801 "territorial" "LOC115143414" "C09"
5.1883012705831 "territorial" "LOC115143414" "C10"
5.59264348418962 "territorial" "LOC115143414" "C11"
7.46637705282306 "territorial" "LOC115143414" "C12"
12.4450007151924 "territorial" "LOC115143414" "C13"
12.5498150997091 "territorial" "LOC115143414" "C14"
9.81988651555018 "territorial" "LOC115143414" "C15"
9.1958646389608 "social" "LOC115143414" "C16"
7.56274781043878 "social" "LOC115143414" "C18"
11.2052965874895 "social" "LOC115143414" "C19"
13.2074618032254 "social" "LOC115143414" "C20"
9.46576810329387 "social" "LOC115143414" "C21"
7.40254031912116 "social" "LOC115143414" "C22"
13.5639314542869 "social" "LOC115143414" "C23"
7.68612234179868 "social" "LOC115143414" "C24"
16.9933595637548 "social" "LOC115143414" "C25"
6.67682412096006 "social" "LOC115143414" "C26"
7.97697170956201 "social" "LOC115143414" "C27"
9.10815197828319 "social" "LOC115143414" "C28"
8.82207227609475 "social" "LOC115143414" "C29"
7.55578282214009 "social" "LOC115143414" "C30"
8.56823366730618 "territorial" "LOCNA.1130" "C01"
19.5636764582412 "territorial" "LOCNA.1130" "C02"
13.5950099578424 "territorial" "LOCNA.1130" "C03"
7.47163826144197 "territorial" "LOCNA.1130" "C04"
7.89166898444622 "territorial" "LOCNA.1130" "C06"
13.910627632677 "territorial" "LOCNA.1130" "C07"
4.2224132451164 "territorial" "LOCNA.1130" "C08"
808.188308742562 "territorial" "LOCNA.1130" "C09"
121.614449490064 "territorial" "LOCNA.1130" "C10"
9.41212609733183 "territorial" "LOCNA.1130" "C11"
706.094475778793 "territorial" "LOCNA.1130" "C12"
9.63441231161769 "territorial" "LOCNA.1130" "C13"
13.4767239535329 "territorial" "LOCNA.1130" "C14"
6.09193190933011 "territorial" "LOCNA.1130" "C15"
47.844151923231 "social" "LOCNA.1130" "C16"
6.55378383751895 "social" "LOCNA.1130" "C18"
4.06843219582983 "social" "LOCNA.1130" "C19"
5.58298472129016 "social" "LOCNA.1130" "C20"
6.01739575587315 "social" "LOCNA.1130" "C21"
14.3050806382423 "social" "LOCNA.1130" "C22"
10.0802163998104 "social" "LOCNA.1130" "C23"
28.3462240744699 "social" "LOCNA.1130" "C24"
8.26158097117873 "social" "LOCNA.1130" "C25"
12.8536482419201 "social" "LOCNA.1130" "C26"
9.84621463695252 "social" "LOCNA.1130" "C27"
13.4122279674248 "social" "LOCNA.1130" "C28"
8.82207227609475 "social" "LOCNA.1130" "C29"
8.4377556749076 "social" "LOCNA.1130" "C30"
