"count" "trt" "gene" "sample"
212.29326240245 "territorial" "LOC115131673" "B01"
170.899398782813 "territorial" "LOC115131673" "B02"
199.665835997596 "territorial" "LOC115131673" "B03"
184.952501855277 "territorial" "LOC115131673" "B04"
78.8244042437684 "territorial" "LOC115131673" "B05"
120.593842915713 "territorial" "LOC115131673" "B06"
118.775001522102 "territorial" "LOC115131673" "B07"
82.9151118468289 "territorial" "LOC115131673" "B08"
104.669631634651 "territorial" "LOC115131673" "B09"
103.543904780647 "territorial" "LOC115131673" "B10"
110.424691163225 "territorial" "LOC115131673" "B11"
116.113846885112 "territorial" "LOC115131673" "B12"
109.681817379084 "territorial" "LOC115131673" "B13"
98.9389464827055 "territorial" "LOC115131673" "B14"
92.6415043147882 "territorial" "LOC115131673" "B15"
77.8552274312889 "social" "LOC115131673" "B16"
85.0249929247734 "social" "LOC115131673" "B17"
82.6652774750846 "social" "LOC115131673" "B18"
85.9795881898376 "social" "LOC115131673" "B19"
78.1309109329165 "social" "LOC115131673" "B20"
77.7331858004137 "social" "LOC115131673" "B21"
99.2385688538597 "social" "LOC115131673" "B22"
127.570785158854 "social" "LOC115131673" "B23"
89.0587397699586 "social" "LOC115131673" "B24"
71.4479804889126 "social" "LOC115131673" "B25"
73.0967454748418 "social" "LOC115131673" "B26"
51.4163149630123 "social" "LOC115131673" "B27"
30.2976089613577 "social" "LOC115131673" "B28"
48.5096534238767 "social" "LOC115131673" "B29"
56.8887696431355 "social" "LOC115131673" "B30"
276.908156016756 "territorial" "LOC115128702" "B01"
243.751315653725 "territorial" "LOC115128702" "B02"
237.688404688046 "territorial" "LOC115128702" "B03"
243.641934263774 "territorial" "LOC115128702" "B04"
127.351480786103 "territorial" "LOC115128702" "B05"
113.339852404026 "territorial" "LOC115128702" "B06"
167.870285172786 "territorial" "LOC115128702" "B07"
181.813246063023 "territorial" "LOC115128702" "B08"
200.036195807219 "territorial" "LOC115128702" "B09"
134.151005210542 "territorial" "LOC115128702" "B10"
156.003221645538 "territorial" "LOC115128702" "B11"
191.476947076888 "territorial" "LOC115128702" "B12"
146.075756505445 "territorial" "LOC115128702" "B13"
149.746144667328 "territorial" "LOC115128702" "B14"
174.285875226626 "territorial" "LOC115128702" "B15"
167.26581498174 "social" "LOC115128702" "B16"
133.172140793315 "social" "LOC115128702" "B17"
139.88752428809 "social" "LOC115128702" "B18"
104.296642801946 "social" "LOC115128702" "B19"
133.904575098313 "social" "LOC115128702" "B20"
103.873648686708 "social" "LOC115128702" "B21"
124.884950374343 "social" "LOC115128702" "B22"
172.815685935112 "social" "LOC115128702" "B23"
104.741016604222 "social" "LOC115128702" "B24"
132.610032634527 "social" "LOC115128702" "B25"
127.335693243402 "social" "LOC115128702" "B26"
131.185208405065 "social" "LOC115128702" "B27"
74.9940224033943 "social" "LOC115128702" "B28"
106.703172725545 "social" "LOC115128702" "B29"
119.701576334223 "social" "LOC115128702" "B30"
275.113297860803 "territorial" "LOC115139187" "B01"
226.464420125034 "territorial" "LOC115139187" "B02"
226.824813633631 "territorial" "LOC115139187" "B03"
187.347988892359 "territorial" "LOC115139187" "B04"
166.513682907987 "territorial" "LOC115139187" "B05"
146.385809179491 "territorial" "LOC115139187" "B06"
138.859435742837 "territorial" "LOC115139187" "B07"
138.250972658271 "territorial" "LOC115139187" "B08"
171.426226555449 "territorial" "LOC115139187" "B09"
157.616448873462 "territorial" "LOC115139187" "B10"
139.91668147531 "territorial" "LOC115139187" "B11"
128.103431006531 "territorial" "LOC115139187" "B12"
126.479020052789 "territorial" "LOC115139187" "B13"
151.016324621943 "territorial" "LOC115139187" "B14"
168.454134447209 "territorial" "LOC115139187" "B15"
92.9244275802413 "social" "LOC115139187" "B16"
153.500936560033 "social" "LOC115139187" "B17"
133.284957348128 "social" "LOC115139187" "B18"
119.560854978702 "social" "LOC115139187" "B19"
180.633861290942 "social" "LOC115139187" "B20"
116.943880129854 "social" "LOC115139187" "B21"
104.367845157956 "social" "LOC115139187" "B22"
145.861276962022 "social" "LOC115139187" "B23"
100.128582241203 "social" "LOC115139187" "B24"
117.931140119579 "social" "LOC115139187" "B25"
119.825685090832 "social" "LOC115139187" "B26"
116.758919165545 "social" "LOC115139187" "B27"
76.2355894434509 "social" "LOC115139187" "B28"
90.6999549175866 "social" "LOC115139187" "B29"
117.560230651572 "social" "LOC115139187" "B30"
499.470567354923 "territorial" "LOC115133295" "B01"
401.802931916044 "territorial" "LOC115133295" "B02"
300.154053250928 "territorial" "LOC115133295" "B03"
279.574239819997 "territorial" "LOC115133295" "B04"
167.365035128028 "territorial" "LOC115133295" "B05"
163.311787040095 "territorial" "LOC115133295" "B06"
231.842927505496 "territorial" "LOC115133295" "B07"
251.277411762494 "territorial" "LOC115133295" "B08"
314.476072814301 "territorial" "LOC115133295" "B09"
184.142602579371 "territorial" "LOC115133295" "B10"
214.987202269707 "territorial" "LOC115133295" "B11"
270.265642731927 "territorial" "LOC115133295" "B12"
210.465033421315 "territorial" "LOC115133295" "B13"
194.202443078872 "territorial" "LOC115133295" "B14"
308.415913153216 "territorial" "LOC115133295" "B15"
211.468802085333 "social" "LOC115133295" "B16"
238.025929484806 "social" "LOC115133295" "B17"
111.276400881587 "social" "LOC115133295" "B18"
175.529632960144 "social" "LOC115133295" "B19"
194.200428250093 "social" "LOC115133295" "B20"
181.106834487121 "social" "LOC115133295" "B21"
122.320312222295 "social" "LOC115133295" "B22"
251.753597927733 "social" "LOC115133295" "B23"
137.028057145353 "social" "LOC115133295" "B24"
185.209397479755 "social" "LOC115133295" "B25"
113.984567638833 "social" "LOC115133295" "B26"
205.862470350816 "social" "LOC115133295" "B27"
99.8253632045257 "social" "LOC115133295" "B28"
170.716043957381 "social" "LOC115133295" "B29"
141.11503316073 "social" "LOC115133295" "B30"
241.010992897697 "territorial" "LOC115123161" "B01"
299.316336995947 "territorial" "LOC115123161" "B02"
179.749252397836 "territorial" "LOC115123161" "B03"
190.941219447981 "territorial" "LOC115123161" "B04"
162.256921807783 "territorial" "LOC115123161" "B05"
199.581739598531 "territorial" "LOC115123161" "B06"
144.810379215647 "territorial" "LOC115123161" "B07"
153.556636286968 "territorial" "LOC115123161" "B08"
128.87806715538 "territorial" "LOC115123161" "B09"
182.102129217378 "territorial" "LOC115123161" "B10"
160.024856688095 "territorial" "LOC115123161" "B11"
242.860879025826 "territorial" "LOC115123161" "B12"
183.169579076544 "territorial" "LOC115123161" "B13"
150.381234644635 "territorial" "LOC115123161" "B14"
110.136726653039 "territorial" "LOC115123161" "B15"
177.311948414375 "social" "LOC115123161" "B16"
121.402837981005 "social" "LOC115123161" "B17"
129.616864603704 "social" "LOC115123161" "B18"
76.8210608837835 "social" "LOC115123161" "B19"
101.495554029231 "social" "LOC115123161" "B20"
140.707937299212 "social" "LOC115123161" "B21"
119.755674070246 "social" "LOC115123161" "B22"
98.6910612591141 "social" "LOC115123161" "B23"
136.105570272749 "social" "LOC115123161" "B24"
77.564185703474 "social" "LOC115123161" "B25"
101.46788738455 "social" "LOC115123161" "B26"
171.918260375475 "social" "LOC115123161" "B27"
34.0223100815274 "social" "LOC115123161" "B28"
132.890256411296 "social" "LOC115123161" "B29"
109.708629815187 "social" "LOC115123161" "B30"
239.216134741744 "territorial" "LOCNA.2988" "B01"
170.899398782813 "territorial" "LOCNA.2988" "B02"
129.052494143903 "territorial" "LOCNA.2988" "B03"
174.17281018841 "territorial" "LOCNA.2988" "B04"
99.2568575247515 "territorial" "LOCNA.2988" "B05"
209.253726947448 "territorial" "LOCNA.2988" "B06"
94.9712276308617 "territorial" "LOCNA.2988" "B07"
92.3339817721807 "territorial" "LOCNA.2988" "B08"
96.6001531277415 "territorial" "LOCNA.2988" "B09"
95.3820113326749 "territorial" "LOCNA.2988" "B10"
92.9976059788112 "territorial" "LOCNA.2988" "B11"
92.1346786422736 "territorial" "LOCNA.2988" "B12"
118.780302160674 "territorial" "LOCNA.2988" "B13"
128.788175416171 "territorial" "LOCNA.2988" "B14"
94.9742006265549 "territorial" "LOCNA.2988" "B15"
65.799867312127 "social" "LOCNA.2988" "B16"
76.465499970366 "social" "LOCNA.2988" "B17"
56.2550097152359 "social" "LOCNA.2988" "B18"
140.930752026162 "social" "LOCNA.2988" "B19"
87.9289870700807 "social" "LOCNA.2988" "B20"
76.5449829419457 "social" "LOCNA.2988" "B21"
108.214802386029 "social" "LOCNA.2988" "B22"
105.429663502387 "social" "LOCNA.2988" "B23"
86.2912791521474 "social" "LOCNA.2988" "B24"
66.5550163172634 "social" "LOCNA.2988" "B25"
77.2689722262695 "social" "LOCNA.2988" "B26"
82.8147091902032 "social" "LOCNA.2988" "B27"
40.2301452818103 "social" "LOCNA.2988" "B28"
64.5128712318356 "social" "LOCNA.2988" "B29"
67.5954980563891 "social" "LOCNA.2988" "B30"
219.472695026261 "territorial" "LOC115125161" "B01"
204.238411588146 "territorial" "LOC115125161" "B02"
206.908230033872 "territorial" "LOC115125161" "B03"
137.042761113647 "territorial" "LOC115125161" "B04"
212.486702790199 "territorial" "LOC115125161" "B05"
113.339852404026 "territorial" "LOC115125161" "B06"
162.663209634078 "territorial" "LOC115125161" "B07"
84.0924705874978 "territorial" "LOC115125161" "B08"
201.503373717566 "territorial" "LOC115125161" "B09"
178.021182493392 "territorial" "LOC115125161" "B10"
156.003221645538 "territorial" "LOC115125161" "B11"
134.954621933056 "territorial" "LOC115125161" "B12"
169.871793626527 "territorial" "LOC115125161" "B13"
128.153085438863 "territorial" "LOC115125161" "B14"
171.953178914859 "territorial" "LOC115125161" "B15"
120.048987848356 "social" "LOC115125161" "B16"
118.193028123102 "social" "LOC115125161" "B17"
125.948771859281 "social" "LOC115125161" "B18"
71.732990158198 "social" "LOC115125161" "B19"
129.382386111929 "social" "LOC115125161" "B20"
68.2275629326704 "social" "LOC115125161" "B21"
128.731907602415 "social" "LOC115125161" "B22"
93.8777739424909 "social" "LOC115125161" "B23"
118.578319693278 "social" "LOC115125161" "B24"
133.833273677439 "social" "LOC115125161" "B25"
95.6267699325513 "social" "LOC115125161" "B26"
118.456129664312 "social" "LOC115125161" "B27"
40.2301452818103 "social" "LOC115125161" "B28"
128.525742463671 "social" "LOC115125161" "B29"
150.39419778555 "social" "LOC115125161" "B30"
1190.49095739681 "territorial" "LOC115138705" "B01"
1155.01766566616 "territorial" "LOC115138705" "B02"
1072.37431736888 "territorial" "LOC115138705" "B03"
950.310610202823 "territorial" "LOC115138705" "B04"
684.987184912933 "territorial" "LOC115138705" "B05"
502.637343197915 "territorial" "LOC115138705" "B06"
881.983501910009 "territorial" "LOC115138705" "B07"
868.213391873041 "territorial" "LOC115138705" "B08"
633.587268314816 "territorial" "LOC115138705" "B09"
618.763428683881 "territorial" "LOC115138705" "B10"
727.075397688633 "territorial" "LOC115138705" "B11"
795.238147476915 "territorial" "LOC115138705" "B12"
780.870040882553 "territorial" "LOC115138705" "B13"
727.678024017405 "territorial" "LOC115138705" "B14"
701.47524168592 "territorial" "LOC115138705" "B15"
595.231099211987 "social" "LOC115138705" "B16"
813.651830668706 "social" "LOC115138705" "B17"
672.49459077837 "social" "LOC115138705" "B18"
533.729812041368 "social" "LOC115138705" "B19"
672.798762642345 "social" "LOC115138705" "B20"
476.969346245629 "social" "LOC115138705" "B21"
627.554028175811 "social" "LOC115138705" "B22"
768.700655733069 "social" "LOC115138705" "B23"
446.983646340208 "social" "LOC115138705" "B24"
587.655700597897 "social" "LOC115138705" "B25"
539.551696284457 "social" "LOC115138705" "B26"
637.802542287037 "social" "LOC115138705" "B27"
313.374894094256 "social" "LOC115138705" "B28"
509.693293889602 "social" "LOC115138705" "B29"
534.408856874245 "social" "LOC115138705" "B30"
93.832624109554 "territorial" "LOC115106387" "B01"
49.8911300819747 "territorial" "LOC115106387" "B02"
51.1967582539334 "territorial" "LOC115106387" "B03"
57.9916888899565 "territorial" "LOC115106387" "B04"
54.9865420826215 "territorial" "LOC115106387" "B05"
52.0839325275547 "territorial" "LOC115106387" "B06"
45.8759439801777 "territorial" "LOC115106387" "B07"
29.9339685167246 "territorial" "LOC115106387" "B08"
65.0558280552767 "territorial" "LOC115106387" "B09"
48.4511240068357 "territorial" "LOC115106387" "B10"
36.6947153830131 "territorial" "LOC115106387" "B11"
40.7507466933351 "territorial" "LOC115106387" "B12"
52.291374910591 "territorial" "LOC115106387" "B13"
57.6580979576999 "territorial" "LOC115106387" "B14"
43.6548817676856 "territorial" "LOC115106387" "B15"
27.6245602681143 "social" "LOC115106387" "B16"
41.1575915334353 "social" "LOC115106387" "B17"
21.0413193687711 "social" "LOC115106387" "B18"
